"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Boeing","156.84","157.59","152.00","1.32","0.85%","8.81M","11/04"
"Chevron","135.63","137.12","132.04","0.65","0.48%","17.22M","11/04"
"Caterpillar","293.45","295.41","284.14","4.29","1.48%","3.2M","11/04"
"Microsoft","388.45","390.05","378.89","7.10","1.86%","23.84M","11/04"
"Walt Disney","84.89","85.67","83.35","-0.34","-0.40%","10.2M","11/04"
"Cisco","57.33","57.80","56.28","0.74","1.31%","23.04M","11/04"
"Goldman Sachs","494.44","498.52","478.58","4.64","0.95%","3.77M","11/04"
"JPMorgan","236.20","238.58","225.00","9.09","4.00%","20.28M","11/04"
"Coca-Cola","71.43","71.85","70.54","0.67","0.95%","19.99M","11/04"
"McDonald’s","309.90","310.89","303.96","3.12","1.02%","4.44M","11/04"
"Merck&Co","79.18","79.44","76.35","1.63","2.10%","16.19M","11/04"
"3M","135.95","136.49","131.66","2.98","2.24%","3.34M","11/04"
"Apple","198.15","199.54","186.06","7.73","4.06%","87.44M","11/04"
"Amazon.com","184.87","185.86","178.00","3.65","2.01%","50.59M","11/04"
"Amgen","285.98","287.90","277.10","4.57","1.62%","3.47M","11/04"
"NVIDIA","110.93","111.55","107.48","3.36","3.12%","313.42M","11/04"
"Sherwin-Williams","336.77","337.76","320.42","6.86","2.08%","2.03M","11/04"
"Walmart","92.80","93.35","90.01","2.19","2.42%","25.5M","11/04"
"Home Depot","353.86","354.47","344.20","0.24","0.07%","3.58M","11/04"
"IBM","235.48","237.58","227.51","5.93","2.58%","4.33M","11/04"
"Verizon","43.73","43.90","43.10","0.81","1.89%","30.14M","11/04"
"Travelers","245.13","246.61","240.44","-0.04","-0.02%","1.37M","11/04"
"J&J","151.73","152.35","148.19","3.04","2.04%","9.94M","11/04"
"American Express","251.13","252.77","243.14","4.24","1.72%","4.41M","11/04"
"Honeywell","198.55","199.41","191.60","5.16","2.67%","5.1M","11/04"
"Salesforce Inc","255.00","256.41","247.68","-0.12","-0.05%","6.09M","11/04"
"Visa A","333.40","336.98","322.54","8.79","2.71%","6.8M","11/04"
"UnitedHealth","599.47","606.36","586.53","5.07","0.85%","6.12M","11/04"
"Nike","54.39","55.03","52.86","-0.01","-0.02%","22.62M","11/04"
"P&G","166.91","168.02","162.62","3.35","2.05%","8.6M","11/04"
