<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
54017.HK,D,20250314,000000,0.031,0.068,0.029,0.061,1045000,0
54017.HK,D,20250317,000000,0.068,0.078,0.061,0.061,3040000,0
54017.HK,D,20250318,000000,0.088,0.098,0.083,0.093,27960000,0
54017.HK,D,20250319,000000,0.095,0.104,0.082,0.099,34485000,0
54017.HK,D,20250320,000000,0.1,0.1,0.049,0.052,87475000,0
54017.HK,D,20250321,000000,0.048,0.063,0.016,0.029,101005000,0
54017.HK,D,20250324,000000,0.031,0.044,0.018,0.04,40710000,0
54017.HK,D,20250325,000000,0.028,0.041,0.01,0.014,39240000,0
54017.HK,D,20250326,000000,0.018,0.028,0.012,0.024,35205000,0
54017.HK,D,20250327,000000,0.023,0.041,0.014,0.029,27720000,0
54017.HK,D,20250328,000000,0.04,0.042,0.014,0.024,34000000,0
54017.HK,D,20250331,000000,0.02,0.02,0.012,0.016,1290000,0
