<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
6288.HK,D,20140305,000000,28.2592,35.5703,27.8643,28.5564,4581442.7439375,0
6288.HK,D,20140306,000000,28.6052,29.1477,27.8643,29.05,1467369.5258922,0
6288.HK,D,20140307,000000,29.1477,29.6423,28.5065,28.6052,828563.70172181,0
6288.HK,D,20140310,000000,28.5065,28.6551,28.0129,28.1116,291166.92947585,0
6288.HK,D,20140311,000000,28.4078,28.5564,28.0129,28.2592,142698.74225117,0
6288.HK,D,20140312,000000,28.0129,28.0129,27.0736,27.4206,446920.88373209,0
6288.HK,D,20140313,000000,27.4206,27.6659,26.7276,27.1235,116891.18150923,0
6288.HK,D,20140314,000000,26.8762,27.1723,26.6299,26.7276,217387.63219507,0
6288.HK,D,20140317,000000,26.8762,27.271,26.6787,26.8762,56169.101950536,0
6288.HK,D,20140318,000000,27.0736,27.0736,26.7276,26.7276,73170.562168848,0
6288.HK,D,20140319,000000,26.7775,27.5672,26.1851,27.3708,142092.01285625,0
6288.HK,D,20140320,000000,26.6787,27.5183,26.3317,26.6299,77725.545494016,0
6288.HK,D,20140321,000000,26.6299,26.6299,26.3816,26.5312,110110.85516369,0
6288.HK,D,20140324,000000,26.4813,27.0736,26.4314,26.7276,150895.10480436,0
6288.HK,D,20140325,000000,26.8263,27.0247,26.4314,26.7276,205546.88183834,0
6288.HK,D,20140326,000000,26.8762,26.9749,26.4813,26.58,54754.068601392,0
6288.HK,D,20140327,000000,26.6787,27.8643,26.58,27.3708,130857.99189444,0
6288.HK,D,20140328,000000,27.8643,28.4078,27.8643,28.1116,140881.56264192,0
6288.HK,D,20140331,000000,28.5564,28.5564,27.4705,27.7656,37344.444971952,0
6288.HK,D,20140401,000000,27.3209,27.7158,27.1723,27.2212,30261.2553582,0
6288.HK,D,20140402,000000,27.6659,27.7656,27.4705,27.7656,172451.54834784,0
6288.HK,D,20140403,000000,27.7656,28.2592,27.7656,27.8643,35523.253928688,0
6288.HK,D,20140404,000000,28.1116,28.2094,27.9132,28.2094,62848.139587176,0
6288.HK,D,20140407,000000,28.1605,28.1605,27.5672,27.6171,13661.941399992,0
6288.HK,D,20140408,000000,28.2592,28.4577,27.9631,27.9631,106568.75892756,0
6288.HK,D,20140409,000000,27.7656,27.8155,27.7158,27.8155,55257.5035704,0
6288.HK,D,20140410,000000,27.6659,27.6659,27.271,27.271,41291.696043696,0
6288.HK,D,20140411,000000,26.0864,26.0864,24.6525,25.3944,677971.46018566,0
