<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
28444.HK,D,20241023,000000,0.16,0.162,0.16,0.16,1987500,0
28444.HK,D,20241024,000000,0.163,0.169,0.16,0.161,6087500,0
28444.HK,D,20241025,000000,0.164,0.166,0.16,0.163,7345000,0
28444.HK,D,20241028,000000,0.165,0.166,0.159,0.162,6355000,0
28444.HK,D,20241029,000000,0.176,0.184,0.173,0.173,2570000,0
28444.HK,D,20241030,000000,0.173,0.175,0.163,0.166,6832500,0
28444.HK,D,20241031,000000,0.182,0.185,0.173,0.173,1402500,0
28444.HK,D,20241101,000000,0.17,0.177,0.167,0.168,1572500,0
28444.HK,D,20241104,000000,0.184,0.196,0.183,0.188,5380000,0
28444.HK,D,20241105,000000,0.192,0.205,0.191,0.204,3757500,0
28444.HK,D,20241106,000000,0.197,0.209,0.188,0.192,4607500,0
28444.HK,D,20241107,000000,0.18,0.188,0.178,0.183,1255000,0
28444.HK,D,20241108,000000,0.191,0.192,0.18,0.186,1230000,0
28444.HK,D,20241111,000000,0.17,0.178,0.158,0.175,8140000,0
28444.HK,D,20241112,000000,0.174,0.186,0.156,0.157,7562500,0
28444.HK,D,20241113,000000,0.146,0.147,0.134,0.141,4665000,0
28444.HK,D,20241114,000000,0.138,0.139,0.129,0.129,1677500,0
28444.HK,D,20241115,000000,0.121,0.126,0.118,0.122,2582500,0
28444.HK,D,20241118,000000,0.126,0.131,0.123,0.13,4520000,0
28444.HK,D,20241119,000000,0.136,0.158,0.136,0.155,9142500,0
28444.HK,D,20241120,000000,0.144,0.15,0.14,0.144,4732500,0
28444.HK,D,20241121,000000,0.155,0.156,0.147,0.149,8047500,0
28444.HK,D,20241122,000000,0.155,0.159,0.143,0.143,11020000,0
28444.HK,D,20241125,000000,0.147,0.147,0.14,0.141,8300000,0
28444.HK,D,20241126,000000,0.14,0.143,0.14,0.14,1765000,0
28444.HK,D,20241127,000000,0.135,0.144,0.13,0.144,3937500,0
28444.HK,D,20241128,000000,0.138,0.141,0.136,0.139,3782500,0
28444.HK,D,20241129,000000,0.144,0.155,0.141,0.146,11970000,0
28444.HK,D,20241202,000000,0.147,0.148,0.145,0.148,3150000,0
28444.HK,D,20241203,000000,0.154,0.154,0.148,0.152,3227500,0
28444.HK,D,20241204,000000,0.164,0.17,0.161,0.164,3720000,0
28444.HK,D,20241205,000000,0.151,0.152,0.146,0.146,1445000,0
28444.HK,D,20241206,000000,0.165,0.176,0.161,0.174,9542500,0
28444.HK,D,20241209,000000,0.181,0.213,0.178,0.213,2185000,0
28444.HK,D,20241210,000000,0.213,0.213,0.198,0.198,5070000,0
28444.HK,D,20241211,000000,0.206,0.207,0.191,0.194,3580000,0
28444.HK,D,20241212,000000,0.204,0.228,0.202,0.222,10702500,0
28444.HK,D,20241213,000000,0.213,0.213,0.199,0.199,3150000,0
28444.HK,D,20241216,000000,0.202,0.202,0.187,0.192,1197500,0
28444.HK,D,20241217,000000,0.189,0.201,0.189,0.193,562500,0
28444.HK,D,20241218,000000,0.207,0.208,0.202,0.204,2877500,0
28444.HK,D,20241219,000000,0.183,0.186,0.181,0.184,597500,0
28444.HK,D,20241220,000000,0.192,0.192,0.184,0.184,215000,0
28444.HK,D,20241223,000000,0.186,0.19,0.186,0.189,667500,0
28444.HK,D,20241224,000000,0.184,0.19,0.184,0.188,1287500,0
28444.HK,D,20241227,000000,0.187,0.192,0.184,0.186,7247500,0
28444.HK,D,20241230,000000,0.17,0.17,0.156,0.162,3765000,0
28444.HK,D,20241231,000000,0.164,0.167,0.162,0.163,3762500,0
28444.HK,D,20250102,000000,0.147,0.15,0.142,0.142,4015000,0
28444.HK,D,20250103,000000,0.13,0.141,0.13,0.136,5502500,0
28444.HK,D,20250106,000000,0.143,0.143,0.139,0.141,10477500,0
28444.HK,D,20250107,000000,0.136,0.136,0.125,0.128,8007500,0
28444.HK,D,20250108,000000,0.133,0.133,0.128,0.13,1500000,0
28444.HK,D,20250109,000000,0.128,0.128,0.125,0.125,90000,0
28444.HK,D,20250110,000000,0.126,0.126,0.116,0.118,1545000,0
28444.HK,D,20250113,000000,0.109,0.118,0.109,0.118,45000,0
28444.HK,D,20250114,000000,0.121,0.13,0.121,0.125,125000,0
28444.HK,D,20250115,000000,0.123,0.123,0.123,0.123,0,0
28444.HK,D,20250116,000000,0.131,0.131,0.126,0.128,125000,0
28444.HK,D,20250117,000000,0.127,0.129,0.127,0.128,55000,0
28444.HK,D,20250120,000000,0.138,0.148,0.138,0.144,677500,0
28444.HK,D,20250121,000000,0.146,0.156,0.145,0.154,312500,0
28444.HK,D,20250122,000000,0.147,0.147,0.136,0.136,125000,0
28444.HK,D,20250123,000000,0.133,0.136,0.127,0.127,200000,0
28444.HK,D,20250124,000000,0.14,0.153,0.14,0.151,242500,0
28444.HK,D,20250127,000000,0.16,0.166,0.16,0.16,45000,0
28444.HK,D,20250128,000000,0.153,0.159,0.153,0.159,215000,0
28444.HK,D,20250203,000000,0.141,0.159,0.138,0.159,225000,0
28444.HK,D,20250204,000000,0.172,0.185,0.172,0.179,247500,0
28444.HK,D,20250205,000000,0.159,0.159,0.141,0.141,1400000,0
28444.HK,D,20250206,000000,0.142,0.146,0.138,0.146,475000,0
28444.HK,D,20250207,000000,0.14,0.142,0.137,0.137,247500,0
28444.HK,D,20250210,000000,0.138,0.144,0.138,0.144,70000,0
28444.HK,D,20250211,000000,0.129,0.129,0.12,0.12,402500,0
28444.HK,D,20250212,000000,0.123,0.126,0.123,0.124,5000,0
28444.HK,D,20250213,000000,0.133,0.141,0.128,0.128,850000,0
28444.HK,D,20250214,000000,0.14,0.152,0.14,0.151,282500,0
28444.HK,D,20250217,000000,0.142,0.16,0.142,0.151,240000,0
28444.HK,D,20250218,000000,0.142,0.143,0.136,0.143,527500,0
28444.HK,D,20250219,000000,0.134,0.142,0.134,0.142,15000,0
28444.HK,D,20250220,000000,0.13,0.13,0.127,0.127,12500,0
28444.HK,D,20250221,000000,0.119,0.126,0.116,0.125,1130000,0
28444.HK,D,20250224,000000,0.137,0.149,0.131,0.134,265000,0
28444.HK,D,20250225,000000,0.113,0.114,0.079,0.08,2252500,0
28444.HK,D,20250226,000000,0.081,0.095,0.078,0.087,812500,0
28444.HK,D,20250227,000000,0.08,0.08,0.07,0.07,730000,0
28444.HK,D,20250228,000000,0.064,0.064,0.057,0.057,455000,0
28444.HK,D,20250303,000000,0.068,0.07,0.065,0.065,240000,0
28444.HK,D,20250304,000000,0.065,0.072,0.065,0.07,685000,0
28444.HK,D,20250305,000000,0.07,0.079,0.07,0.078,465000,0
28444.HK,D,20250306,000000,0.08,0.097,0.08,0.097,2087500,0
28444.HK,D,20250307,000000,0.093,0.113,0.093,0.107,10162500,0
28444.HK,D,20250310,000000,0.094,0.097,0.086,0.091,1420000,0
28444.HK,D,20250311,000000,0.078,0.089,0.078,0.089,1230000,0
28444.HK,D,20250312,000000,0.081,0.083,0.071,0.075,1287500,0
28444.HK,D,20250313,000000,0.07,0.071,0.07,0.07,240000,0
28444.HK,D,20250314,000000,0.077,0.083,0.077,0.082,620000,0
28444.HK,D,20250317,000000,0.086,0.089,0.086,0.087,1015000,0
