<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83001.HK,D,20210414,000000,319.789,319.789,319.789,319.789,0,0
83001.HK,D,20210415,000000,319.789,319.789,319.789,319.789,0,0
83001.HK,D,20210416,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210419,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210420,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210421,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210422,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210423,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210426,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210427,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210428,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210429,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210430,000000,318.349,318.349,318.349,318.349,0,0
83001.HK,D,20210503,000000,318.398,318.398,318.398,318.398,0,0
83001.HK,D,20210504,000000,318.886,318.886,318.886,318.886,0,0
83001.HK,D,20210505,000000,319.779,319.779,319.779,319.779,0,0
83001.HK,D,20210506,000000,319.779,319.779,319.779,319.779,0,0
83001.HK,D,20210507,000000,319.779,319.779,319.779,319.779,0,0
83001.HK,D,20210510,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210511,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210512,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210513,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210514,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210517,000000,318.15,318.15,318.15,318.15,0,0
83001.HK,D,20210518,000000,318.051,318.051,318.051,318.051,0,0
83001.HK,D,20210520,000000,318.051,318.051,318.051,318.051,0,0
83001.HK,D,20210521,000000,318.051,318.051,318.051,318.051,0,0
83001.HK,D,20210524,000000,318.051,318.051,318.051,318.051,0,0
