<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
87001.HK,D,20110428,000000,5.24,5.24,5.24,5.24,0,0
87001.HK,D,20110429,000000,4.83,5.1,4.66,4.75,344190000,0
87001.HK,D,20110503,000000,4.83,5,4.74,4.97,133329000,0
87001.HK,D,20110504,000000,4.97,4.98,4.85,4.91,90790000,0
87001.HK,D,20110505,000000,4.91,4.91,4.84,4.88,53737000,0
87001.HK,D,20110506,000000,4.87,4.87,4.74,4.79,52983000,0
87001.HK,D,20110509,000000,4.82,4.82,4.68,4.73,45527000,0
87001.HK,D,20110511,000000,4.71,4.71,4.63,4.66,35658000,0
87001.HK,D,20110512,000000,4.65,4.65,4.46,4.62,42330000,0
87001.HK,D,20110513,000000,4.6,4.6,4.55,4.58,12284000,0
87001.HK,D,20110516,000000,4.58,4.59,4.55,4.58,13423000,0
87001.HK,D,20110517,000000,4.55,4.66,4.55,4.64,16982000,0
87001.HK,D,20110518,000000,4.61,4.66,4.6,4.6,8353500,0
87001.HK,D,20110519,000000,4.6,4.66,4.58,4.61,8878000,0
87001.HK,D,20110520,000000,4.61,4.64,4.59,4.6,8620000,0
87001.HK,D,20110523,000000,4.6,4.7,4.6,4.66,15243000,0
87001.HK,D,20110524,000000,4.68,4.84,4.68,4.83,11929000,0
87001.HK,D,20110525,000000,4.78,4.82,4.75,4.76,13432000,0
87001.HK,D,20110526,000000,4.76,4.8,4.73,4.78,14778000,0
87001.HK,D,20110527,000000,4.76,4.82,4.75,4.81,6989000,0
87001.HK,D,20110530,000000,4.81,4.98,4.81,4.96,19561002,0
87001.HK,D,20110531,000000,4.96,4.99,4.88,4.89,5706000,0
87001.HK,D,20110601,000000,4.9,4.96,4.9,4.93,4760750,0
87001.HK,D,20110602,000000,4.91,4.95,4.88,4.94,1601534,0
87001.HK,D,20110603,000000,4.95,4.95,4.9,4.9,1793000,0
87001.HK,D,20110607,000000,4.91,4.92,4.88,4.9,2933000,0
87001.HK,D,20110608,000000,4.9,4.93,4.88,4.9,6125000,0
87001.HK,D,20110609,000000,4.88,4.89,4.83,4.84,6119000,0
87001.HK,D,20110610,000000,4.87,4.87,4.81,4.83,6152000,0
87001.HK,D,20110613,000000,4.8,4.83,4.78,4.8,4087000,0
87001.HK,D,20110614,000000,4.8,4.85,4.8,4.84,1197000,0
87001.HK,D,20110615,000000,4.85,4.86,4.8,4.8,4759000,0
87001.HK,D,20110616,000000,4.8,4.81,4.77,4.77,7260000,0
