<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
49886.HK,D,20240926,000000,0.099,0.099,0.097,0.097,20000,0
49886.HK,D,20240927,000000,0.095,0.095,0.095,0.095,0,0
49886.HK,D,20240930,000000,0.093,0.093,0.093,0.093,0,0
49886.HK,D,20241002,000000,0.096,0.096,0.096,0.096,0,0
49886.HK,D,20241003,000000,0.096,0.096,0.096,0.096,0,0
49886.HK,D,20241004,000000,0.096,0.096,0.096,0.096,0,0
49886.HK,D,20241007,000000,0.09,0.09,0.09,0.09,0,0
49886.HK,D,20241008,000000,0.094,0.094,0.094,0.094,0,0
49886.HK,D,20241009,000000,0.093,0.093,0.093,0.093,0,0
49886.HK,D,20241010,000000,0.086,0.086,0.086,0.086,0,0
49886.HK,D,20241014,000000,0.08,0.08,0.079,0.079,930000,0
49886.HK,D,20241015,000000,0.075,0.075,0.075,0.075,120000,0
49886.HK,D,20241016,000000,0.081,0.081,0.081,0.081,0,0
49886.HK,D,20241017,000000,0.077,0.077,0.077,0.077,890000,0
49886.HK,D,20241018,000000,0.073,0.073,0.073,0.073,0,0
49886.HK,D,20241021,000000,0.073,0.073,0.073,0.073,80000,0
49886.HK,D,20241022,000000,0.078,0.079,0.078,0.079,780000,0
49886.HK,D,20241023,000000,0.08,0.08,0.08,0.08,10000,0
49886.HK,D,20241024,000000,0.084,0.084,0.084,0.084,60000,0
49886.HK,D,20241025,000000,0.085,0.085,0.085,0.085,0,0
49886.HK,D,20241028,000000,0.087,0.087,0.087,0.087,0,0
49886.HK,D,20241029,000000,0.087,0.087,0.087,0.087,0,0
49886.HK,D,20241030,000000,0.087,0.087,0.087,0.087,0,0
49886.HK,D,20241031,000000,0.092,0.092,0.092,0.092,0,0
49886.HK,D,20241101,000000,0.094,0.094,0.094,0.094,0,0
49886.HK,D,20241104,000000,0.093,0.093,0.093,0.093,160000,0
49886.HK,D,20241105,000000,0.094,0.094,0.094,0.094,0,0
49886.HK,D,20241106,000000,0.074,0.074,0.074,0.074,200000,0
49886.HK,D,20241107,000000,0.064,0.064,0.064,0.064,100000,0
49886.HK,D,20241108,000000,0.064,0.064,0.064,0.064,2550000,0
49886.HK,D,20241111,000000,0.061,0.061,0.06,0.06,150000,0
49886.HK,D,20241112,000000,0.057,0.057,0.057,0.057,0,0
49886.HK,D,20241113,000000,0.062,0.063,0.062,0.063,560000,0
49886.HK,D,20241114,000000,0.061,0.062,0.061,0.061,100000,0
49886.HK,D,20241115,000000,0.066,0.066,0.065,0.066,50000,0
49886.HK,D,20241118,000000,0.066,0.067,0.066,0.067,2500000,0
49886.HK,D,20241119,000000,0.066,0.066,0.066,0.066,250000,0
49886.HK,D,20241120,000000,0.068,0.068,0.068,0.068,250000,0
49886.HK,D,20241121,000000,0.068,0.068,0.068,0.068,0,0
49886.HK,D,20241122,000000,0.061,0.061,0.06,0.06,500000,0
49886.HK,D,20241125,000000,0.051,0.051,0.051,0.051,100000,0
49886.HK,D,20241126,000000,0.05,0.05,0.049,0.049,700000,0
49886.HK,D,20241127,000000,0.046,0.046,0.046,0.046,30000,0
49886.HK,D,20241128,000000,0.048,0.048,0.048,0.048,0,0
49886.HK,D,20241129,000000,0.048,0.048,0.048,0.048,0,0
49886.HK,D,20241202,000000,0.048,0.048,0.048,0.048,0,0
49886.HK,D,20241203,000000,0.048,0.048,0.048,0.048,0,0
49886.HK,D,20241204,000000,0.047,0.047,0.047,0.047,0,0
49886.HK,D,20241205,000000,0.045,0.045,0.045,0.045,1150000,0
49886.HK,D,20241206,000000,0.048,0.048,0.047,0.047,400000,0
49886.HK,D,20241209,000000,0.05,0.05,0.05,0.05,0,0
49886.HK,D,20241210,000000,0.052,0.052,0.052,0.052,0,0
49886.HK,D,20241211,000000,0.055,0.055,0.055,0.055,60000,0
49886.HK,D,20241212,000000,0.058,0.058,0.058,0.058,60000,0
49886.HK,D,20241213,000000,0.059,0.059,0.059,0.059,0,0
49886.HK,D,20241216,000000,0.06,0.06,0.06,0.06,400000,0
49886.HK,D,20241217,000000,0.063,0.063,0.063,0.063,0,0
49886.HK,D,20241218,000000,0.065,0.065,0.065,0.065,50000,0
49886.HK,D,20241219,000000,0.082,0.083,0.082,0.082,1240000,0
49886.HK,D,20241220,000000,0.083,0.083,0.083,0.083,0,0
49886.HK,D,20241223,000000,0.073,0.073,0.073,0.073,50000,0
49886.HK,D,20241224,000000,0.074,0.074,0.074,0.074,0,0
49886.HK,D,20241227,000000,0.07,0.07,0.07,0.07,0,0
49886.HK,D,20241230,000000,0.075,0.075,0.075,0.075,0,0
49886.HK,D,20241231,000000,0.081,0.081,0.081,0.081,0,0
49886.HK,D,20250102,000000,0.08,0.08,0.08,0.08,0,0
49886.HK,D,20250103,000000,0.083,0.083,0.083,0.083,0,0
49886.HK,D,20250106,000000,0.08,0.08,0.08,0.08,0,0
49886.HK,D,20250107,000000,0.081,0.081,0.081,0.081,10000,0
49886.HK,D,20250108,000000,0.082,0.082,0.082,0.082,100000,0
49886.HK,D,20250109,000000,0.082,0.084,0.082,0.084,10000,0
49886.HK,D,20250110,000000,0.083,0.083,0.083,0.083,0,0
49886.HK,D,20250113,000000,0.093,0.094,0.093,0.094,200000,0
49886.HK,D,20250114,000000,0.086,0.086,0.086,0.086,100000,0
49886.HK,D,20250115,000000,0.083,0.083,0.083,0.083,0,0
49886.HK,D,20250116,000000,0.073,0.073,0.072,0.072,60000,0
49886.HK,D,20250117,000000,0.073,0.073,0.073,0.073,0,0
49886.HK,D,20250120,000000,0.069,0.069,0.069,0.069,0,0
49886.HK,D,20250121,000000,0.068,0.068,0.068,0.068,0,0
49886.HK,D,20250122,000000,0.062,0.062,0.062,0.062,0,0
49886.HK,D,20250123,000000,0.06,0.06,0.06,0.06,0,0
49886.HK,D,20250124,000000,0.054,0.054,0.054,0.054,0,0
49886.HK,D,20250127,000000,0.062,0.062,0.062,0.062,0,0
49886.HK,D,20250128,000000,0.052,0.052,0.052,0.052,970000,0
49886.HK,D,20250203,000000,0.063,0.064,0.063,0.064,1480000,0
49886.HK,D,20250204,000000,0.057,0.057,0.056,0.057,230000,0
49886.HK,D,20250205,000000,0.057,0.057,0.057,0.057,0,0
49886.HK,D,20250206,000000,0.052,0.052,0.049,0.049,490000,0
49886.HK,D,20250207,000000,0.051,0.053,0.051,0.053,600000,0
49886.HK,D,20250210,000000,0.057,0.057,0.057,0.057,300000,0
49886.HK,D,20250211,000000,0.057,0.057,0.057,0.057,200000,0
49886.HK,D,20250212,000000,0.054,0.054,0.054,0.054,0,0
49886.HK,D,20250213,000000,0.056,0.056,0.056,0.056,300000,0
49886.HK,D,20250214,000000,0.05,0.052,0.05,0.051,710000,0
49886.HK,D,20250217,000000,0.054,0.054,0.054,0.054,200000,0
49886.HK,D,20250218,000000,0.053,0.053,0.053,0.053,0,0
49886.HK,D,20250219,000000,0.053,0.053,0.053,0.053,0,0
49886.HK,D,20250220,000000,0.055,0.055,0.055,0.055,200000,0
49886.HK,D,20250221,000000,0.059,0.059,0.059,0.059,100000,0
49886.HK,D,20250224,000000,0.07,0.07,0.069,0.069,750000,0
49886.HK,D,20250225,000000,0.069,0.072,0.069,0.072,590000,0
49886.HK,D,20250226,000000,0.069,0.069,0.069,0.069,0,0
49886.HK,D,20250227,000000,0.07,0.07,0.07,0.07,0,0
49886.HK,D,20250228,000000,0.075,0.076,0.075,0.075,1760000,0
49886.HK,D,20250303,000000,0.068,0.068,0.066,0.066,100000,0
49886.HK,D,20250304,000000,0.077,0.077,0.077,0.077,500000,0
49886.HK,D,20250305,000000,0.083,0.084,0.083,0.084,220000,0
49886.HK,D,20250306,000000,0.08,0.081,0.079,0.081,700000,0
49886.HK,D,20250307,000000,0.086,0.086,0.086,0.086,100000,0
49886.HK,D,20250310,000000,0.086,0.086,0.086,0.086,100000,0
49886.HK,D,20250311,000000,0.101,0.101,0.097,0.097,1000000,0
49886.HK,D,20250312,000000,0.108,0.108,0.104,0.105,240000,0
49886.HK,D,20250313,000000,0.107,0.111,0.107,0.111,1800000,0
49886.HK,D,20250314,000000,0.113,0.114,0.113,0.114,430000,0
49886.HK,D,20250317,000000,0.108,0.109,0.108,0.109,530000,0
49886.HK,D,20250318,000000,0.101,0.101,0.1,0.1,140000,0
49886.HK,D,20250319,000000,0.104,0.104,0.104,0.104,0,0
49886.HK,D,20250320,000000,0.096,0.096,0.096,0.096,530000,0
49886.HK,D,20250321,000000,0.097,0.099,0.097,0.099,520000,0
49886.HK,D,20250324,000000,0.093,0.093,0.093,0.093,0,0
49886.HK,D,20250325,000000,0.09,0.09,0.09,0.09,0,0
49886.HK,D,20250326,000000,0.089,0.089,0.089,0.089,0,0
49886.HK,D,20250327,000000,0.09,0.09,0.09,0.09,250000,0
49886.HK,D,20250328,000000,0.094,0.094,0.094,0.094,0,0
49886.HK,D,20250331,000000,0.11,0.11,0.11,0.11,100000,0
49886.HK,D,20250401,000000,0.101,0.102,0.101,0.101,300000,0
49886.HK,D,20250402,000000,0.101,0.101,0.101,0.101,0,0
49886.HK,D,20250403,000000,0.114,0.114,0.114,0.114,140000,0
49886.HK,D,20250407,000000,0.177,0.206,0.177,0.203,1260000,0
49886.HK,D,20250408,000000,0.161,0.161,0.161,0.161,100000,0
49886.HK,D,20250409,000000,0.189,0.189,0.181,0.182,170000,0
49886.HK,D,20250410,000000,0.135,0.135,0.128,0.135,150000,0
49886.HK,D,20250411,000000,0.15,0.15,0.14,0.145,140000,0
49886.HK,D,20250414,000000,0.134,0.134,0.129,0.129,250000,0
49886.HK,D,20250415,000000,0.128,0.128,0.128,0.128,0,0
49886.HK,D,20250416,000000,0.136,0.139,0.136,0.139,200000,0
49886.HK,D,20250417,000000,0.143,0.143,0.141,0.141,230000,0
