<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9040.HK,D,20230413,000000,3.524,3.554,3.524,3.554,150000,0
9040.HK,D,20230414,000000,3.576,3.594,3.572,3.586,64000,0
9040.HK,D,20230417,000000,3.63,3.63,3.63,3.63,0,0
9040.HK,D,20230418,000000,3.622,3.622,3.622,3.622,0,0
9040.HK,D,20230419,000000,3.578,3.582,3.578,3.578,10000,0
9040.HK,D,20230420,000000,3.582,3.582,3.568,3.576,50000,0
9040.HK,D,20230421,000000,3.546,3.546,3.496,3.496,700,0
9040.HK,D,20230424,000000,3.468,3.468,3.468,3.468,0,0
9040.HK,D,20230425,000000,3.4,3.4,3.4,3.4,0,0
9040.HK,D,20230426,000000,3.416,3.416,3.416,3.416,0,0
9040.HK,D,20230427,000000,3.416,3.416,3.416,3.416,0,0
9040.HK,D,20230428,000000,3.458,3.458,3.438,3.446,86800,0
9040.HK,D,20230502,000000,3.422,3.454,3.418,3.444,50000,0
9040.HK,D,20230503,000000,3.392,3.396,3.392,3.394,20000,0
9040.HK,D,20230504,000000,3.434,3.434,3.434,3.434,0,0
9040.HK,D,20230505,000000,3.48,3.486,3.452,3.468,40000,0
9040.HK,D,20230508,000000,3.496,3.496,3.496,3.496,0,0
9040.HK,D,20230509,000000,3.48,3.48,3.43,3.43,38800,0
9040.HK,D,20230510,000000,3.42,3.42,3.42,3.42,0,0
9040.HK,D,20230511,000000,3.42,3.42,3.42,3.42,0,0
9040.HK,D,20230512,000000,3.412,3.412,3.412,3.412,0,0
9040.HK,D,20230515,000000,3.46,3.464,3.452,3.46,28800,0
9040.HK,D,20230516,000000,3.46,3.46,3.46,3.46,0,0
9040.HK,D,20230517,000000,3.408,3.408,3.408,3.408,0,0
9040.HK,D,20230518,000000,3.42,3.42,3.42,3.42,0,0
9040.HK,D,20230519,000000,3.37,3.37,3.37,3.37,0,0
9040.HK,D,20230522,000000,3.364,3.432,3.364,3.422,50000,0
9040.HK,D,20230523,000000,3.41,3.41,3.37,3.37,10000,0
9040.HK,D,20230524,000000,3.306,3.306,3.306,3.306,0,0
9040.HK,D,20230525,000000,3.248,3.248,3.248,3.248,0,0
9040.HK,D,20230529,000000,3.212,3.212,3.212,3.212,0,0
9040.HK,D,20230530,000000,3.22,3.22,3.22,3.22,0,0
9040.HK,D,20230531,000000,3.154,3.154,3.154,3.154,0,0
9040.HK,D,20230601,000000,3.154,3.154,3.154,3.154,0,0
9040.HK,D,20230602,000000,3.286,3.286,3.286,3.286,0,0
9040.HK,D,20230605,000000,3.292,3.292,3.292,3.292,0,0
9040.HK,D,20230606,000000,3.346,3.35,3.288,3.288,50000,0
9040.HK,D,20230607,000000,3.326,3.326,3.326,3.326,10000,0
9040.HK,D,20230608,000000,3.326,3.326,3.326,3.326,0,0
9040.HK,D,20230609,000000,3.348,3.348,3.348,3.348,0,0
9040.HK,D,20230612,000000,3.35,3.35,3.35,3.35,0,0
9040.HK,D,20230613,000000,3.384,3.384,3.384,3.384,0,0
9040.HK,D,20230614,000000,3.384,3.384,3.384,3.384,0,0
9040.HK,D,20230615,000000,3.474,3.474,3.474,3.474,0,0
9040.HK,D,20230616,000000,3.506,3.506,3.506,3.506,0,0
9040.HK,D,20230619,000000,3.49,3.49,3.49,3.49,0,0
9040.HK,D,20230620,000000,3.43,3.43,3.43,3.43,0,0
9040.HK,D,20230621,000000,3.342,3.342,3.342,3.342,0,0
9040.HK,D,20230623,000000,3.328,3.328,3.292,3.292,10100,0
9040.HK,D,20230626,000000,3.302,3.302,3.272,3.272,20000,0
9040.HK,D,20230627,000000,3.326,3.326,3.326,3.326,0,0
9040.HK,D,20230628,000000,3.326,3.326,3.326,3.326,0,0
9040.HK,D,20230629,000000,3.288,3.288,3.288,3.288,0,0
9040.HK,D,20230630,000000,3.288,3.288,3.288,3.288,0,0
9040.HK,D,20230703,000000,3.356,3.356,3.356,3.356,0,0
9040.HK,D,20230704,000000,3.376,3.376,3.376,3.376,0,0
9040.HK,D,20230705,000000,3.332,3.332,3.332,3.332,0,0
9040.HK,D,20230706,000000,3.276,3.276,3.276,3.276,0,0
9040.HK,D,20230707,000000,3.254,3.254,3.254,3.254,0,0
9040.HK,D,20230710,000000,3.268,3.268,3.268,3.268,0,0
9040.HK,D,20230711,000000,3.308,3.308,3.308,3.308,0,0
9040.HK,D,20230712,000000,3.342,3.342,3.342,3.342,0,0
9040.HK,D,20230713,000000,3.444,3.444,3.444,3.444,0,0
9040.HK,D,20230714,000000,3.446,3.446,3.446,3.446,0,0
9040.HK,D,20230718,000000,3.384,3.384,3.384,3.384,0,0
9040.HK,D,20230719,000000,3.32,3.348,3.312,3.346,146600,0
9040.HK,D,20230720,000000,3.346,3.346,3.346,3.346,0,0
9040.HK,D,20230721,000000,3.36,3.36,3.36,3.36,0,0
9040.HK,D,20230724,000000,3.306,3.306,3.306,3.306,100,0
9040.HK,D,20230725,000000,3.47,3.47,3.47,3.47,0,0
9040.HK,D,20230726,000000,3.466,3.466,3.466,3.466,0,0
9040.HK,D,20230727,000000,3.51,3.51,3.51,3.51,0,0
9040.HK,D,20230728,000000,3.572,3.572,3.572,3.572,0,0
9040.HK,D,20230731,000000,3.656,3.656,3.626,3.626,200,0
9040.HK,D,20230801,000000,3.658,3.67,3.594,3.608,62000,0
9040.HK,D,20230802,000000,3.528,3.528,3.52,3.52,30000,0
9040.HK,D,20230803,000000,3.51,3.51,3.51,3.51,0,0
9040.HK,D,20230804,000000,3.55,3.55,3.55,3.55,1000,0
